Pacific,Australia,Individual,6718,3591,9061000.58,1348.76,85.03
Pacific,Australia,Store,125,34,1594335.38,12754.68,14.96
North America,Canada,Store,692,106,14377925.59,20777.35,87.90
North America,Canada,Individual,3375,1571,1977844.86,586.03,12.09
North America,Central,Store,376,61,7906008.18,21026.62,99.96
North America,Central,Individual,9,8,3000.83,333.43,0.03
Europe,France,Store,188,34,4607537.93,24508.18,63.53
Europe,France,Individual,2484,1810,2644017.71,1064.42,36.46
Europe,Germany,Individual,2484,1780,2894312.34,1165.18,58.88
Europe,Germany,Store,139,32,2021095.26,14540.25,41.11
North America,Northeast,Store,342,49,6932842.01,20271.47,99.90
North America,Northeast,Individual,10,8,6532.47,653.25,0.09
North America,Northwest,Store,536,87,12435076.00,23199.77,77.30
North America,Northwest,Individual,4058,3341,3649866.55,899.42,22.69
North America,Southeast,Store,469,79,7867416.22,16774.87,99.84
North America,Southeast,Individual,17,12,12238.85,719.93,0.15
North America,Southwest,Store,751,115,18466458.79,24589.16,76.35
North America,Southwest,Individual,5473,4450,5718150.81,1044.79,23.64
Europe,United Kingdom,Store,188,38,4279008.82,22760.69,55.78
Europe,United Kingdom,Individual,3031,1913,3391712.21,1119.01,44.21
