Individual,Champions,2046,79.300000,2.420000,9103424.44,31.00
Individual,High Value At Risk,1814,283.250000,2.100000,7965559.97,27.13
Individual,Loyal,2693,119.940000,2.460000,5507700.65,18.76
Individual,Lost,2865,409.330000,1.000000,2497437.77,8.50
Individual,New / Promising,4106,71.510000,1.000000,2230203.81,7.59
Individual,Needs Attention,4648,209.210000,1.000000,2020324.07,6.88
Individual,At Risk,312,257.370000,2.110000,34027.18,0.11
Store,Loyal,121,84.060000,9.310000,22001730.17,27.33
Store,High Value At Risk,48,219.270000,9.170000,17740989.08,22.04
Store,Champions,43,61.000000,9.790000,15375702.83,19.10
Store,Needs Attention,191,154.280000,4.520000,10286566.79,12.78
Store,Lost,115,657.770000,3.240000,7709774.89,9.57
Store,New / Promising,88,61.000000,3.740000,6408372.01,7.96
Store,At Risk,29,170.340000,8.690000,964568.42,1.19
