1,January,Online,894,894,1448240.440000,1.000000
1,January,Sales-assisted,141,2769,2431349.180000,19.640000
2,February,Online,810,810,1277021.240000,1.000000
2,February,Sales-assisted,74,2061,1786044.210000,27.850000
3,March,Online,1011,1011,1567403.690000,1.000000
3,March,Sales-assisted,144,3105,2666107.750000,21.560000
4,April,Online,1090,1090,1707560.720000,1.000000
4,April,Sales-assisted,144,3135,2716128.860000,21.770000
5,May,Online,1160,1160,1806581.360000,1.000000
6,June,Online,486,486,819498.820000,1.000000
6,June,Sales-assisted,148,3853,3108075.690000,26.030000
7,July,Online,512,512,794062.840000,1.000000
7,July,Sales-assisted,141,3759,2907891.760000,26.660000
8,August,Online,603,603,958608.670000,1.000000
8,August,Sales-assisted,84,2167,1875639.790000,25.800000
9,September,Online,605,605,976593.250000,1.000000
9,September,Sales-assisted,149,3226,2809330.170000,21.650000
10,October,Online,769,769,1224282.830000,1.000000
10,October,Sales-assisted,140,3292,2853785.610000,23.510000
11,November,Online,986,986,1530457.680000,1.000000
11,November,Sales-assisted,83,1676,1459529.850000,20.190000
12,December,Online,803,803,1291852.770000,1.000000
12,December,Sales-assisted,143,2628,2358327.270000,18.380000
