1,January,Accessories,44,7533.610000,11.640000
2,February,Accessories,44,11411.830000,17.630000
3,March,Accessories,73,17966.000000,27.750000
4,April,Accessories,56,14910.280000,23.030000
5,May,Accessories,112,43157.110000,66.660000
6,June,Accessories,560,89192.550000,137.760000
7,July,Accessories,1435,121611.890000,187.830000
8,August,Accessories,1464,93903.510000,145.030000
9,September,Accessories,1469,103965.430000,160.570000
10,October,Accessories,1580,107025.220000,165.300000
11,November,Accessories,1659,83837.600000,129.490000
12,December,Accessories,1608,82437.580000,127.320000
1,January,Bikes,632,3881267.460000,73.390000
2,February,Bikes,530,3368695.590000,63.690000
3,March,Bikes,714,5662423.860000,107.060000
4,April,Bikes,666,3569048.910000,67.480000
5,May,Bikes,701,4996596.630000,94.470000
6,June,Bikes,996,7105659.430000,134.350000
7,July,Bikes,1006,6390993.910000,120.840000
8,August,Bikes,955,4673524.940000,88.370000
9,September,Bikes,1081,6681091.840000,126.320000
10,October,Bikes,1203,6170855.720000,116.680000
11,November,Bikes,1445,4716858.630000,89.190000
12,December,Bikes,1302,6249106.630000,118.160000
1,January,Clothing,98,38528.550000,28.560000
2,February,Clothing,84,56451.320000,41.850000
3,March,Clothing,147,85048.440000,63.050000
4,April,Clothing,116,70158.870000,52.010000
5,May,Clothing,132,155732.810000,115.450000
6,June,Clothing,364,239579.400000,177.600000
7,July,Clothing,703,230860.300000,171.140000
8,August,Clothing,670,149260.720000,110.650000
9,September,Clothing,745,188411.430000,139.670000
10,October,Clothing,762,176920.620000,131.150000
11,November,Clothing,756,103985.020000,77.080000
12,December,Clothing,838,123825.600000,91.790000
1,January,Components,89,237334.460000,30.250000
2,February,Components,77,356584.690000,45.450000
3,March,Components,146,617347.350000,78.680000
4,April,Components,115,513540.150000,65.450000
5,May,Components,144,1137457.400000,144.980000
6,June,Components,291,1728721.370000,220.340000
7,July,Components,260,1593067.940000,203.050000
8,August,Components,130,584244.140000,74.470000
9,September,Components,226,1020512.240000,130.070000
10,October,Components,216,910014.870000,115.990000
11,November,Components,86,259259.010000,33.040000
12,December,Components,171,456888.580000,58.230000
