2022,5,47,47,517737.44,11015.69
2022,6,217,217,2001278.97,9222.48
2022,7,215,215,1668510.50,7760.51
2022,8,189,189,1326138.11,7016.60
2022,9,250,250,2836409.61,11345.64
2022,10,239,239,2269438.23,9495.56
2022,11,267,267,1437342.53,5383.31
2022,12,268,268,2504196.21,9344.02
2023,1,259,259,2076791.61,8018.50
2023,2,211,211,1449883.20,6871.48
2023,3,304,304,2975748.24,9788.65
2023,4,269,269,1634600.80,6076.58
2023,5,293,293,3074602.81,10493.52
2023,6,390,390,4099354.36,10511.17
2023,7,385,385,3417953.87,8877.80
2023,8,285,285,2175637.22,7633.81
2023,9,352,352,3454151.94,9812.93
2023,10,321,321,2544091.11,7925.52
2023,11,383,383,1872701.98,4889.56
2023,12,378,378,2829404.82,7485.20
2024,1,400,400,2087872.46,5219.68
2024,2,338,338,2343260.23,6932.72
2024,3,443,443,3407037.41,7690.83
2024,4,426,426,2533057.41,5946.14
2024,5,436,433,3258341.13,7473.26
2024,6,741,735,5063798.38,6833.74
2024,7,1755,1694,4918580.19,2802.61
2024,8,1785,1723,3325296.10,1862.91
2024,9,1796,1744,4539829.00,2527.74
2024,10,1971,1902,4820725.33,2445.83
2024,11,2100,2036,3291238.29,1567.26
2024,12,2053,1975,4082853.58,1988.73
2025,1,2136,2068,4276427.72,2002.07
2025,2,1857,1809,3565879.32,1920.24
2025,3,2304,2246,4987901.53,2164.89
2025,4,2279,2224,5222758.74,2291.69
2025,5,2218,2159,1908059.49,860.26
2025,6,905,867,47491.55,52.48
