1,January,Accessories,44,409,7533.610000
1,January,Bikes,632,3291,3881267.460000
1,January,Clothing,98,1396,38528.550000
1,January,Components,89,895,237334.460000
2,February,Accessories,44,630,11411.830000
2,February,Bikes,530,3109,3368695.590000
2,February,Clothing,84,1984,56451.320000
2,February,Components,77,1375,356584.690000
3,March,Accessories,73,972,17966.000000
3,March,Bikes,714,5116,5662423.860000
3,March,Clothing,147,3106,85048.440000
3,March,Components,146,2242,617347.350000
4,April,Accessories,56,801,14910.280000
4,April,Bikes,666,3674,3569048.910000
4,April,Clothing,116,2488,70158.870000
4,April,Components,115,1889,513540.150000
5,May,Accessories,112,2412,43157.110000
5,May,Bikes,701,5402,4996596.630000
5,May,Clothing,132,5671,155732.810000
5,May,Components,144,4549,1137457.400000
6,June,Accessories,560,4113,89192.550000
6,June,Bikes,996,7923,7105659.430000
6,June,Clothing,364,8533,239579.400000
6,June,Components,291,7379,1728721.370000
7,July,Accessories,1435,5686,121611.890000
7,July,Bikes,1006,7134,6390993.910000
7,July,Clothing,703,7983,230860.300000
7,July,Components,260,6962,1593067.940000
8,August,Accessories,1464,4505,93903.510000
8,August,Bikes,955,4867,4673524.940000
8,August,Clothing,670,5047,149260.720000
8,August,Components,130,2689,584244.140000
9,September,Accessories,1469,4986,103965.430000
9,September,Bikes,1081,7054,6681091.840000
9,September,Clothing,745,6444,188411.430000
9,September,Components,226,4379,1020512.240000
10,October,Accessories,1580,5102,107025.220000
10,October,Bikes,1203,6375,6170855.720000
10,October,Clothing,762,6015,176920.620000
10,October,Components,216,4093,910014.870000
11,November,Accessories,1659,4154,83837.600000
11,November,Bikes,1445,4492,4716858.630000
11,November,Clothing,756,3354,103985.020000
11,November,Components,86,1233,259259.010000
12,December,Accessories,1608,4118,82437.580000
12,December,Bikes,1302,6321,6249106.630000
12,December,Clothing,838,4061,123825.600000
12,December,Components,171,1964,456888.580000
