Bikes,Road Bikes,9538,47196,43909437.510000,39.970000
Bikes,Mountain Bikes,6185,28321,36445443.940000,33.180000
Bikes,Touring Bikes,2645,14751,14296291.260000,13.010000
Components,Mountain Frames,861,11621,4713930.230000,4.290000
Components,Road Frames,1016,11753,3851350.600000,3.510000
Components,Touring Frames,272,3725,1642327.690000,1.500000
Clothing,Jerseys,4781,22711,752259.390000,0.680000
Components,Wheels,720,5273,680831.350000,0.620000
Accessories,Helmets,7512,19541,484048.530000,0.440000
Clothing,Shorts,1778,9967,413600.510000,0.380000
Clothing,Vests,1109,6738,259488.370000,0.240000
Accessories,Tires and Tubes,10030,18006,246454.530000,0.220000
Clothing,Gloves,2425,13012,243511.980000,0.220000
Accessories,Bike Racks,796,3166,237096.160000,0.220000
Components,Cranksets,261,1107,203942.620000,0.190000
Clothing,Tights,475,4589,203149.080000,0.180000
Components,Handlebars,1010,3950,170591.320000,0.160000
Clothing,Bib-Shorts,396,3125,167558.620000,0.150000
Components,Pedals,756,3931,147483.910000,0.130000
Accessories,Hydration Packs,1074,2761,105826.420000,0.100000
Components,Forks,133,634,77931.690000,0.070000
Components,Derailleurs,283,1166,70209.500000,0.060000
Components,Brakes,295,1035,66018.710000,0.060000
Accessories,Bottles and Cages,5212,10552,64274.790000,0.060000
Components,Headsets,137,1009,60942.200000,0.060000
Components,Saddles,526,2145,55829.390000,0.050000
Components,Bottom Brackets,248,921,51826.370000,0.050000
Clothing,Caps,3382,8311,51229.450000,0.050000
Accessories,Fenders,2121,2121,46619.580000,0.040000
Accessories,Bike Stands,249,249,39591.000000,0.040000
Clothing,Socks,1143,5217,29745.130000,0.030000
Accessories,Cleaners,1327,3319,18406.970000,0.020000
Accessories,Locks,260,1087,16240.220000,0.010000
Accessories,Pumps,267,1130,13514.690000,0.010000
Components,Chains,250,774,9377.710000,0.010000
