2022-06-01,2001278.97,286.54,1,37
2022-09-01,2836409.61,113.88,2,36
2023-03-01,2975748.24,105.24,3,35
2023-05-01,3074602.81,88.09,4,34
2022-12-01,2504196.21,74.22,5,33
2023-09-01,3454151.94,58.76,6,32
2024-06-01,5063798.38,55.41,7,31
2023-12-01,2829404.82,51.08,8,30
2024-03-01,3407037.41,45.39,9,29
2025-03-01,4987901.53,39.87,10,28
2024-09-01,4539829.00,36.52,11,27
2023-06-01,4099354.36,33.32,12,26
2024-05-01,3258341.13,28.63,13,25
2024-12-01,4082853.58,24.05,14,24
2024-02-01,2343260.23,12.23,15,23
2024-10-01,4820725.33,6.18,16,22
2025-01-01,4276427.72,4.74,17,21
2025-04-01,5222758.74,4.70,18,20
2024-07-01,4918580.19,-2.86,19,19
2025-02-01,3565879.32,-16.61,20,18
2023-07-01,3417953.87,-16.62,21,16
2022-07-01,1668510.50,-16.62,21,16
2023-01-01,2076791.61,-17.06,23,15
2022-10-01,2269438.23,-19.98,24,14
2022-08-01,1326138.11,-20.51,25,13
2024-04-01,2533057.41,-25.65,26,12
2024-01-01,2087872.46,-26.20,27,11
2023-10-01,2544091.11,-26.34,28,10
2023-11-01,1872701.98,-26.39,29,9
2023-02-01,1449883.20,-30.18,30,8
2024-11-01,3291238.29,-31.72,31,7
2024-08-01,3325296.10,-32.39,32,6
2023-08-01,2175637.22,-36.34,33,5
2022-11-01,1437342.53,-36.66,34,4
2023-04-01,1634600.80,-45.06,35,3
2025-05-01,1908059.49,-63.46,36,2
2025-06-01,47491.55,-97.51,37,1
