11000,51522,2024-06-19 00:00:00.000,2022-06-20 00:00:00.000,730,2341.97
11000,57418,2024-10-02 00:00:00.000,2024-06-19 00:00:00.000,105,2507.03
11001,51493,2024-06-17 00:00:00.000,2022-06-16 00:00:00.000,732,2419.93
11001,72773,2025-05-11 00:00:00.000,2024-06-17 00:00:00.000,328,588.96
11002,51238,2024-06-01 00:00:00.000,2022-06-08 00:00:00.000,724,2294.99
11002,53237,2024-07-25 00:00:00.000,2024-06-01 00:00:00.000,54,2419.06
11003,51315,2024-06-06 00:00:00.000,2022-05-30 00:00:00.000,738,2318.96
11003,57783,2024-10-09 00:00:00.000,2024-06-06 00:00:00.000,125,2420.34
11004,51595,2024-06-23 00:00:00.000,2022-06-24 00:00:00.000,730,2376.96
11004,57293,2024-09-30 00:00:00.000,2024-06-23 00:00:00.000,99,2419.06
11005,51612,2024-06-24 00:00:00.000,2022-05-31 00:00:00.000,755,2362.27
11005,57361,2024-10-01 00:00:00.000,2024-06-24 00:00:00.000,99,2384.07
11006,51198,2024-05-30 00:00:00.000,2022-06-25 00:00:00.000,705,2334.97
11006,58007,2024-10-13 00:00:00.000,2024-05-30 00:00:00.000,136,2384.07
11007,51581,2024-06-22 00:00:00.000,2022-06-10 00:00:00.000,743,2391.95
11007,54705,2024-08-18 00:00:00.000,2024-06-22 00:00:00.000,57,2419.06
11008,51282,2024-06-04 00:00:00.000,2022-06-26 00:00:00.000,709,2312.26
11008,53765,2024-08-01 00:00:00.000,2024-06-04 00:00:00.000,58,2419.06
11009,51562,2024-06-21 00:00:00.000,2022-06-28 00:00:00.000,724,2297.28
11009,57736,2024-10-08 00:00:00.000,2024-06-21 00:00:00.000,109,2419.06
11010,51421,2024-06-12 00:00:00.000,2022-06-15 00:00:00.000,728,2294.99
11010,58533,2024-10-22 00:00:00.000,2024-06-12 00:00:00.000,132,2393.06
11011,51650,2024-06-26 00:00:00.000,2022-05-31 00:00:00.000,757,2294.99
11011,54706,2024-08-18 00:00:00.000,2024-06-26 00:00:00.000,53,2438.06
11012,68413,2025-03-16 00:00:00.000,2024-08-15 00:00:00.000,213,6.28
11013,74908,2025-06-22 00:00:00.000,2024-09-12 00:00:00.000,283,74.98
11014,57222,2024-09-29 00:00:00.000,2024-08-22 00:00:00.000,38,99.47
11017,51256,2024-06-02 00:00:00.000,2022-06-13 00:00:00.000,720,2316.97
11017,68396,2025-03-15 00:00:00.000,2024-06-02 00:00:00.000,286,742.35
11018,51492,2024-06-17 00:00:00.000,2022-06-18 00:00:00.000,730,2341.97
11018,69087,2025-03-25 00:00:00.000,2024-06-17 00:00:00.000,281,791.32
11019,53834,2024-08-03 00:00:00.000,2024-07-14 00:00:00.000,20,53.99
11019,54332,2024-08-12 00:00:00.000,2024-08-03 00:00:00.000,9,47.97
11019,56910,2024-09-27 00:00:00.000,2024-08-12 00:00:00.000,46,8.99
11019,57639,2024-10-07 00:00:00.000,2024-09-27 00:00:00.000,10,7.28
11019,58600,2024-10-24 00:00:00.000,2024-10-07 00:00:00.000,17,148.98
11019,62659,2024-12-22 00:00:00.000,2024-10-24 00:00:00.000,59,37.29
11019,64737,2025-01-21 00:00:00.000,2024-12-22 00:00:00.000,30,2.29
11019,65967,2025-02-07 00:00:00.000,2025-01-21 00:00:00.000,17,24.99
11019,66658,2025-02-18 00:00:00.000,2025-02-07 00:00:00.000,11,23.78
11019,68563,2025-03-18 00:00:00.000,2025-02-18 00:00:00.000,28,37.27
11019,69177,2025-03-27 00:00:00.000,2025-03-18 00:00:00.000,9,34.99
11019,71963,2025-04-30 00:00:00.000,2025-03-27 00:00:00.000,34,74.48
11019,72015,2025-05-01 00:00:00.000,2025-04-30 00:00:00.000,1,33.98
11019,72747,2025-05-11 00:00:00.000,2025-05-01 00:00:00.000,10,123.98
11019,74561,2025-06-12 00:00:00.000,2025-05-11 00:00:00.000,32,120.00
11019,74593,2025-06-13 00:00:00.000,2025-06-12 00:00:00.000,1,64.47
11023,74658,2025-06-15 00:00:00.000,2024-07-19 00:00:00.000,331,6.28
11024,62830,2024-12-25 00:00:00.000,2024-11-26 00:00:00.000,29,14.23
11025,51561,2024-06-21 00:00:00.000,2022-06-07 00:00:00.000,745,2405.47
11025,69157,2025-03-26 00:00:00.000,2024-06-21 00:00:00.000,278,796.34
11026,55132,2024-08-26 00:00:00.000,2022-06-24 00:00:00.000,794,2399.47
11026,68468,2025-03-16 00:00:00.000,2024-08-26 00:00:00.000,202,776.33
11027,58536,2024-10-22 00:00:00.000,2022-06-17 00:00:00.000,858,2412.96
11027,69088,2025-03-25 00:00:00.000,2024-10-22 00:00:00.000,154,778.62
11028,57943,2024-10-12 00:00:00.000,2022-06-27 00:00:00.000,838,2357.28
11028,67961,2025-03-08 00:00:00.000,2024-10-12 00:00:00.000,147,742.35
11029,57294,2024-09-30 00:00:00.000,2022-06-20 00:00:00.000,833,2408.97
