43659,2022-05-30 00:00:00.000,29825,1,776,"Mountain-100 Black, 42",1,2024.994,0.00,2024.994000
43659,2022-05-30 00:00:00.000,29825,2,777,"Mountain-100 Black, 44",3,2024.994,0.00,6074.982000
43659,2022-05-30 00:00:00.000,29825,3,778,"Mountain-100 Black, 48",1,2024.994,0.00,2024.994000
43659,2022-05-30 00:00:00.000,29825,4,771,"Mountain-100 Silver, 38",1,2039.994,0.00,2039.994000
43659,2022-05-30 00:00:00.000,29825,5,772,"Mountain-100 Silver, 42",1,2039.994,0.00,2039.994000
43659,2022-05-30 00:00:00.000,29825,6,773,"Mountain-100 Silver, 44",2,2039.994,0.00,4079.988000
43659,2022-05-30 00:00:00.000,29825,7,774,"Mountain-100 Silver, 48",1,2039.994,0.00,2039.994000
43659,2022-05-30 00:00:00.000,29825,8,714,"Long-Sleeve Logo Jersey, M",3,28.8404,0.00,86.521200
43659,2022-05-30 00:00:00.000,29825,9,716,"Long-Sleeve Logo Jersey, XL",1,28.8404,0.00,28.840400
43659,2022-05-30 00:00:00.000,29825,10,709,"Mountain Bike Socks, M",6,5.70,0.00,34.200000
43659,2022-05-30 00:00:00.000,29825,11,712,AWC Logo Cap,2,5.1865,0.00,10.373000
43659,2022-05-30 00:00:00.000,29825,12,711,"Sport-100 Helmet, Blue",4,20.1865,0.00,80.746000
43660,2022-05-30 00:00:00.000,29672,13,762,"Road-650 Red, 44",1,419.4589,0.00,419.458900
43660,2022-05-30 00:00:00.000,29672,14,758,"Road-450 Red, 52",1,874.794,0.00,874.794000
43661,2022-05-30 00:00:00.000,29734,15,745,"HL Mountain Frame - Black, 48",1,809.76,0.00,809.760000
43661,2022-05-30 00:00:00.000,29734,16,743,"HL Mountain Frame - Black, 42",1,714.7043,0.00,714.704300
43661,2022-05-30 00:00:00.000,29734,17,747,"HL Mountain Frame - Black, 38",2,714.7043,0.00,1429.408600
43661,2022-05-30 00:00:00.000,29734,18,712,AWC Logo Cap,4,5.1865,0.00,20.746000
43661,2022-05-30 00:00:00.000,29734,19,715,"Long-Sleeve Logo Jersey, L",4,28.8404,0.00,115.361600
43661,2022-05-30 00:00:00.000,29734,20,742,"HL Mountain Frame - Silver, 46",2,722.5949,0.00,1445.189800
43661,2022-05-30 00:00:00.000,29734,21,775,"Mountain-100 Black, 38",3,2024.994,0.00,6074.982000
43661,2022-05-30 00:00:00.000,29734,22,778,"Mountain-100 Black, 48",2,2024.994,0.00,4049.988000
43661,2022-05-30 00:00:00.000,29734,23,711,"Sport-100 Helmet, Blue",2,20.1865,0.00,40.373000
43661,2022-05-30 00:00:00.000,29734,24,741,"HL Mountain Frame - Silver, 48",2,818.70,0.00,1637.400000
43661,2022-05-30 00:00:00.000,29734,25,776,"Mountain-100 Black, 42",4,2024.994,0.00,8099.976000
43661,2022-05-30 00:00:00.000,29734,26,773,"Mountain-100 Silver, 44",2,2039.994,0.00,4079.988000
43661,2022-05-30 00:00:00.000,29734,27,716,"Long-Sleeve Logo Jersey, XL",2,28.8404,0.00,57.680800
43661,2022-05-30 00:00:00.000,29734,28,777,"Mountain-100 Black, 44",2,2024.994,0.00,4049.988000
43661,2022-05-30 00:00:00.000,29734,29,708,"Sport-100 Helmet, Black",5,20.1865,0.00,100.932500
43662,2022-05-30 00:00:00.000,29994,30,764,"Road-650 Red, 52",3,419.4589,0.00,1258.376700
43662,2022-05-30 00:00:00.000,29994,31,770,"Road-650 Black, 52",5,419.4589,0.00,2097.294500
43662,2022-05-30 00:00:00.000,29994,32,730,"LL Road Frame - Red, 62",2,183.9382,0.00,367.876400
43662,2022-05-30 00:00:00.000,29994,33,754,"Road-450 Red, 58",4,874.794,0.00,3499.176000
43662,2022-05-30 00:00:00.000,29994,34,725,"LL Road Frame - Red, 44",3,183.9382,0.00,551.814600
43662,2022-05-30 00:00:00.000,29994,35,762,"Road-650 Red, 44",5,419.4589,0.00,2097.294500
43662,2022-05-30 00:00:00.000,29994,36,765,"Road-650 Black, 58",3,419.4589,0.00,1258.376700
43662,2022-05-30 00:00:00.000,29994,37,768,"Road-650 Black, 44",2,419.4589,0.00,838.917800
43662,2022-05-30 00:00:00.000,29994,38,753,"Road-150 Red, 56",1,2146.962,0.00,2146.962000
43662,2022-05-30 00:00:00.000,29994,39,756,"Road-450 Red, 44",1,874.794,0.00,874.794000
43662,2022-05-30 00:00:00.000,29994,40,763,"Road-650 Red, 48",3,419.4589,0.00,1258.376700
43662,2022-05-30 00:00:00.000,29994,41,732,"ML Road Frame - Red, 48",1,356.898,0.00,356.898000
43662,2022-05-30 00:00:00.000,29994,42,758,"Road-450 Red, 52",6,874.794,0.00,5248.764000
43662,2022-05-30 00:00:00.000,29994,43,729,"LL Road Frame - Red, 60",1,183.9382,0.00,183.938200
43662,2022-05-30 00:00:00.000,29994,44,722,"LL Road Frame - Black, 58",3,178.5808,0.00,535.742400
43662,2022-05-30 00:00:00.000,29994,45,749,"Road-150 Red, 62",1,2146.962,0.00,2146.962000
