782,"Mountain-200 Black, 38",Bikes,Mountain Bikes,1252,2977,4400592.800000,4.010000,4.010000,A
783,"Mountain-200 Black, 42",Bikes,Mountain Bikes,1177,2664,4009494.760000,3.650000,7.660000,A
779,"Mountain-200 Silver, 38",Bikes,Mountain Bikes,1094,2394,3693678.030000,3.360000,11.020000,A
780,"Mountain-200 Silver, 42",Bikes,Mountain Bikes,1040,2234,3438478.860000,3.130000,14.150000,A
781,"Mountain-200 Silver, 46",Bikes,Mountain Bikes,1054,2216,3434256.940000,3.130000,17.280000,A
784,"Mountain-200 Black, 46",Bikes,Mountain Bikes,1059,2111,3309673.220000,3.010000,20.290000,A
793,"Road-250 Black, 44",Bikes,Road Bikes,705,1642,2516857.310000,2.290000,22.580000,A
794,"Road-250 Black, 48",Bikes,Road Bikes,712,1498,2347655.950000,2.140000,24.720000,A
795,"Road-250 Black, 52",Bikes,Road Bikes,667,1245,2012447.780000,1.830000,26.550000,A
753,"Road-150 Red, 56",Bikes,Road Bikes,475,664,1847818.630000,1.680000,28.230000,A
976,"Road-350-W Yellow, 48",Bikes,Road Bikes,566,1622,1774883.560000,1.620000,29.850000,A
749,"Road-150 Red, 62",Bikes,Road Bikes,470,600,1769096.690000,1.610000,31.460000,A
969,"Touring-1000 Blue, 60",Bikes,Touring Bikes,439,1120,1721242.510000,1.570000,33.020000,A
973,"Road-350-W Yellow, 40",Bikes,Road Bikes,573,1477,1657198.180000,1.510000,34.530000,A
792,"Road-250 Red, 58",Bikes,Road Bikes,526,946,1587008.180000,1.440000,35.980000,A
966,"Touring-1000 Blue, 46",Bikes,Touring Bikes,442,1002,1586953.570000,1.440000,37.420000,A
751,"Road-150 Red, 48",Bikes,Road Bikes,409,493,1540803.060000,1.400000,38.830000,A
957,"Touring-1000 Yellow, 60",Bikes,Touring Bikes,433,1114,1518133.100000,1.380000,40.210000,A
796,"Road-250 Black, 58",Bikes,Road Bikes,486,910,1506377.630000,1.370000,41.580000,A
789,"Road-250 Red, 44",Bikes,Road Bikes,364,895,1448122.480000,1.320000,42.900000,A
954,"Touring-1000 Yellow, 46",Bikes,Touring Bikes,440,1005,1426372.870000,1.300000,44.200000,A
752,"Road-150 Red, 52",Bikes,Road Bikes,378,458,1415563.610000,1.290000,45.480000,A
777,"Mountain-100 Black, 44",Bikes,Mountain Bikes,242,678,1365852.380000,1.240000,46.730000,A
790,"Road-250 Red, 48",Bikes,Road Bikes,377,812,1348759.500000,1.230000,47.960000,A
750,"Road-150 Red, 44",Bikes,Road Bikes,358,437,1340419.940000,1.220000,49.180000,A
775,"Mountain-100 Black, 38",Bikes,Mountain Bikes,234,682,1339997.250000,1.220000,50.400000,A
771,"Mountain-100 Silver, 38",Bikes,Mountain Bikes,241,642,1291868.700000,1.180000,51.570000,A
776,"Mountain-100 Black, 42",Bikes,Mountain Bikes,228,634,1254722.730000,1.140000,52.710000,A
778,"Mountain-100 Black, 48",Bikes,Mountain Bikes,243,616,1234276.030000,1.120000,53.840000,A
801,"Road-550-W Yellow, 48",Bikes,Road Bikes,723,1763,1233938.880000,1.120000,54.960000,A
797,"Road-550-W Yellow, 38",Bikes,Road Bikes,725,1744,1227910.080000,1.120000,56.080000,A
773,"Mountain-100 Silver, 44",Bikes,Mountain Bikes,233,601,1217210.360000,1.110000,57.190000,A
772,"Mountain-100 Silver, 42",Bikes,Mountain Bikes,221,593,1186494.850000,1.080000,58.270000,A
974,"Road-350-W Yellow, 42",Bikes,Road Bikes,455,944,1120066.360000,1.020000,59.290000,A
967,"Touring-1000 Blue, 50",Bikes,Touring Bikes,336,649,1071401.060000,0.980000,60.260000,A
798,"Road-550-W Yellow, 40",Bikes,Road Bikes,687,1500,1071291.780000,0.980000,61.240000,A
791,"Road-250 Red, 52",Bikes,Road Bikes,314,639,1066766.610000,0.970000,62.210000,A
770,"Road-650 Black, 52",Bikes,Road Bikes,703,2270,1042909.780000,0.950000,63.160000,A
774,"Mountain-100 Silver, 48",Bikes,Mountain Bikes,204,505,1019657.000000,0.930000,64.090000,A
760,"Road-650 Red, 60",Bikes,Road Bikes,680,2232,1016529.020000,0.930000,65.010000,A
955,"Touring-1000 Yellow, 50",Bikes,Touring Bikes,342,652,981187.850000,0.890000,65.900000,A
762,"Road-650 Red, 44",Bikes,Road Bikes,689,2254,943340.560000,0.860000,66.760000,A
799,"Road-550-W Yellow, 42",Bikes,Road Bikes,648,1249,932039.590000,0.850000,67.610000,A
748,"HL Mountain Frame - Silver, 38",Components,Mountain Frames,491,1206,930780.680000,0.850000,68.460000,A
743,"HL Mountain Frame - Black, 42",Components,Mountain Frames,481,1181,901590.230000,0.820000,69.280000,A
761,"Road-650 Red, 62",Bikes,Road Bikes,638,1896,879827.940000,0.800000,70.080000,A
763,"Road-650 Red, 48",Bikes,Road Bikes,649,1888,878666.660000,0.800000,70.880000,A
765,"Road-650 Black, 58",Bikes,Road Bikes,642,1871,869632.780000,0.790000,71.670000,A
