11176,28,1320.01,2024-07-04 00:00:00.000,2025-06-28 00:00:00.000,359,13.300000,Repeat
11091,28,1189.33,2024-06-30 00:00:00.000,2025-06-09 00:00:00.000,344,12.740000,Repeat
11185,27,1616.31,2024-07-23 00:00:00.000,2025-06-27 00:00:00.000,339,13.040000,Repeat
11300,27,1500.52,2024-07-02 00:00:00.000,2025-06-01 00:00:00.000,334,12.850000,Repeat
11200,27,1463.38,2024-07-09 00:00:00.000,2025-06-21 00:00:00.000,347,13.350000,Repeat
11277,27,1434.99,2024-07-04 00:00:00.000,2025-06-17 00:00:00.000,348,13.380000,Repeat
11331,27,1329.31,2024-07-09 00:00:00.000,2025-06-25 00:00:00.000,351,13.500000,Repeat
11223,27,1205.38,2024-06-30 00:00:00.000,2025-06-07 00:00:00.000,342,13.150000,Repeat
11287,27,1167.07,2024-06-30 00:00:00.000,2025-06-29 00:00:00.000,364,14.000000,Repeat
11330,27,1136.35,2024-07-14 00:00:00.000,2025-06-23 00:00:00.000,344,13.230000,Repeat
11262,27,1126.82,2024-07-29 00:00:00.000,2025-06-23 00:00:00.000,329,12.650000,Repeat
11711,27,1103.78,2024-07-09 00:00:00.000,2025-06-27 00:00:00.000,353,13.580000,Repeat
11276,27,988.32,2024-06-30 00:00:00.000,2025-06-23 00:00:00.000,358,13.770000,Repeat
11566,25,1006.83,2024-06-29 00:00:00.000,2025-06-08 00:00:00.000,344,14.330000,Repeat
11215,17,1155.52,2024-07-17 00:00:00.000,2025-05-16 00:00:00.000,303,18.940000,Repeat
11142,17,980.77,2024-07-15 00:00:00.000,2025-06-14 00:00:00.000,334,20.880000,Repeat
11078,17,913.27,2024-07-17 00:00:00.000,2025-06-29 00:00:00.000,347,21.690000,Repeat
11019,17,882.70,2024-07-14 00:00:00.000,2025-06-13 00:00:00.000,334,20.880000,Repeat
11212,17,827.19,2024-07-01 00:00:00.000,2025-06-18 00:00:00.000,352,22.000000,Repeat
11203,17,801.77,2024-07-22 00:00:00.000,2025-05-12 00:00:00.000,294,18.380000,Repeat
11211,17,793.55,2024-07-03 00:00:00.000,2025-06-08 00:00:00.000,340,21.250000,Repeat
11502,16,1026.29,2024-07-01 00:00:00.000,2025-06-28 00:00:00.000,362,24.130000,Repeat
11632,16,1002.09,2024-07-01 00:00:00.000,2025-06-04 00:00:00.000,338,22.530000,Repeat
11501,16,872.25,2024-08-26 00:00:00.000,2025-06-23 00:00:00.000,301,20.070000,Repeat
11505,16,846.77,2024-07-24 00:00:00.000,2025-05-25 00:00:00.000,305,20.330000,Repeat
11520,16,822.97,2024-07-24 00:00:00.000,2025-06-20 00:00:00.000,331,22.070000,Repeat
11519,16,757.27,2024-08-12 00:00:00.000,2025-06-12 00:00:00.000,304,20.270000,Repeat
11506,16,748.60,2024-08-07 00:00:00.000,2025-06-23 00:00:00.000,320,21.330000,Repeat
11631,16,707.50,2024-07-09 00:00:00.000,2025-05-26 00:00:00.000,321,21.400000,Repeat
11253,16,696.61,2024-07-31 00:00:00.000,2025-05-04 00:00:00.000,277,18.470000,Repeat
