2022-05-01,47,517737.44,11015.69,NULL,NULL
2022-06-01,217,2001278.97,9222.48,517737.44,286.54
2022-07-01,215,1668510.50,7760.51,2001278.97,-16.62
2022-08-01,189,1326138.11,7016.60,1668510.50,-20.51
2022-09-01,250,2836409.61,11345.64,1326138.11,113.88
2022-10-01,239,2269438.23,9495.56,2836409.61,-19.98
2022-11-01,267,1437342.53,5383.31,2269438.23,-36.66
2022-12-01,268,2504196.21,9344.02,1437342.53,74.22
2023-01-01,259,2076791.61,8018.50,2504196.21,-17.06
2023-02-01,211,1449883.20,6871.48,2076791.61,-30.18
2023-03-01,304,2975748.24,9788.65,1449883.20,105.24
2023-04-01,269,1634600.80,6076.58,2975748.24,-45.06
2023-05-01,293,3074602.81,10493.52,1634600.80,88.09
2023-06-01,390,4099354.36,10511.17,3074602.81,33.32
2023-07-01,385,3417953.87,8877.80,4099354.36,-16.62
2023-08-01,285,2175637.22,7633.81,3417953.87,-36.34
2023-09-01,352,3454151.94,9812.93,2175637.22,58.76
2023-10-01,321,2544091.11,7925.52,3454151.94,-26.34
2023-11-01,383,1872701.98,4889.56,2544091.11,-26.39
2023-12-01,378,2829404.82,7485.20,1872701.98,51.08
2024-01-01,400,2087872.46,5219.68,2829404.82,-26.20
2024-02-01,338,2343260.23,6932.72,2087872.46,12.23
2024-03-01,443,3407037.41,7690.83,2343260.23,45.39
2024-04-01,426,2533057.41,5946.14,3407037.41,-25.65
2024-05-01,436,3258341.13,7473.26,2533057.41,28.63
2024-06-01,741,5063798.38,6833.74,3258341.13,55.41
2024-07-01,1755,4918580.19,2802.61,5063798.38,-2.86
2024-08-01,1785,3325296.10,1862.91,4918580.19,-32.39
2024-09-01,1796,4539829.00,2527.74,3325296.10,36.52
2024-10-01,1971,4820725.33,2445.83,4539829.00,6.18
2024-11-01,2100,3291238.29,1567.26,4820725.33,-31.72
2024-12-01,2053,4082853.58,1988.73,3291238.29,24.05
2025-01-01,2136,4276427.72,2002.07,4082853.58,4.74
2025-02-01,1857,3565879.32,1920.24,4276427.72,-16.61
2025-03-01,2304,4987901.53,2164.89,3565879.32,39.87
2025-04-01,2279,5222758.74,2291.69,4987901.53,4.70
2025-05-01,2218,1908059.49,860.26,5222758.74,-63.46
2025-06-01,905,47491.55,52.48,1908059.49,-97.51
