14346,Individual,59,3,3583.26,5,5,5,555
14345,Individual,43,3,3639.92,5,5,5,555
16033,Individual,33,3,3743.39,5,5,5,555
16053,Individual,37,3,3752.38,5,5,5,555
16054,Individual,42,3,3759.36,5,5,5,555
16045,Individual,42,3,3802.37,5,5,5,555
20716,Individual,50,3,3911.29,5,5,5,555
16046,Individual,60,3,3963.14,5,5,5,555
17767,Individual,45,3,4101.76,5,5,5,555
17780,Individual,51,3,4112.77,5,5,5,555
17766,Individual,66,3,4119.75,5,5,5,555
17834,Individual,51,3,4158.72,5,5,5,555
17778,Individual,52,3,4175.76,5,5,5,555
17651,Individual,65,3,4180.23,5,5,5,555
17779,Individual,41,3,4250.21,5,5,5,555
19453,Individual,46,3,4267.90,5,5,5,555
19364,Individual,59,3,4312.91,5,5,5,555
19340,Individual,52,3,4313.89,5,5,5,555
19420,Individual,54,3,4314.88,5,5,5,555
19365,Individual,39,3,4321.89,5,5,5,555
19438,Individual,58,3,4337.90,5,5,5,555
19476,Individual,51,3,4346.42,5,5,5,555
19439,Individual,58,3,4349.89,5,5,5,555
19454,Individual,34,3,4363.90,5,5,5,555
20051,Individual,32,3,4464.27,5,5,5,555
19311,Individual,62,3,4640.26,5,5,5,555
11946,Individual,38,3,4697.31,5,5,5,555
11943,Individual,47,3,4734.29,5,5,5,555
12011,Individual,45,3,4735.81,5,5,5,555
11947,Individual,33,3,4747.30,5,5,5,555
11944,Individual,40,3,4776.27,5,5,5,555
11942,Individual,41,3,4792.29,5,5,5,555
11364,Individual,34,3,4921.82,5,5,5,555
11359,Individual,56,3,4960.07,5,5,5,555
11929,Individual,43,3,4965.78,5,5,5,555
11372,Individual,46,3,4965.81,5,5,5,555
11050,Individual,71,3,5007.30,5,5,5,555
11365,Individual,38,3,5024.79,5,5,5,555
11360,Individual,38,3,5025.80,5,5,5,555
11930,Individual,44,3,5035.81,5,5,5,555
11363,Individual,42,3,5035.81,5,5,5,555
13769,Individual,68,3,5085.53,5,5,5,555
11368,Individual,59,3,5106.24,5,5,5,555
12808,Individual,33,3,5111.44,5,5,5,555
14673,Individual,62,3,5117.75,5,5,5,555
14048,Individual,52,3,5123.74,5,5,5,555
13975,Individual,42,3,5138.72,5,5,5,555
15134,Individual,61,3,5151.71,5,5,5,555
15660,Individual,35,3,5169.07,5,5,5,555
14055,Individual,32,3,5177.40,5,5,5,555
15129,Individual,57,3,5177.73,5,5,5,555
13968,Individual,38,3,5181.70,5,5,5,555
15127,Individual,56,3,5182.73,5,5,5,555
13973,Individual,51,3,5185.68,5,5,5,555
12745,Individual,36,3,5199.72,5,5,5,555
15122,Individual,46,3,5193.72,5,5,5,555
15121,Individual,47,3,5202.73,5,5,5,555
15653,Individual,72,3,5204.06,5,5,5,555
15661,Individual,57,3,5208.04,5,5,5,555
15130,Individual,54,3,5215.40,5,5,5,555
13974,Individual,59,3,5237.73,5,5,5,555
15133,Individual,35,3,5237.73,5,5,5,555
14012,Individual,54,3,5249.92,5,5,5,555
15657,Individual,63,3,5251.34,5,5,5,555
15662,Individual,49,3,5253.07,5,5,5,555
